intersection_group,window_start,window_end,window_minutes,mean_bottleneck_score,max_bottleneck_score,total_vehicle_count,avg_speed,avg_delay,queue_ratio,rank,is_selected,selection_reason
15,2022-05-09 08:00:00,2022-05-09 09:00:00,60,0.5125760355446332,0.6390621831637836,13707.0,9.846179481019131,0.3156504927767299,0.01181877872619826,1,True,mean_score=0.5126; vehicles=13707; avg_speed=9.846; avg_delay=0.316; queue_ratio=0.012; shared_window_from=15+16
15,2022-05-09 08:15:00,2022-05-09 09:15:00,60,0.5112085314369451,0.6390621831637836,13265.0,9.834263481901404,0.31634790530062773,0.012363362231436076,2,False,mean_score=0.5112; vehicles=13265; avg_speed=9.834; avg_delay=0.316; queue_ratio=0.012
15,2022-05-09 07:50:00,2022-05-09 08:50:00,60,0.5079698565554054,0.6390621831637836,13858.0,9.852541806569384,0.31549876944980454,0.011401356617116432,3,False,mean_score=0.5080; vehicles=13858; avg_speed=9.853; avg_delay=0.315; queue_ratio=0.011
15,2022-05-09 08:25:00,2022-05-09 09:25:00,60,0.5076296687657421,0.6390621831637836,12739.0,9.84945994008917,0.3152400669256924,0.013894340215087486,4,False,mean_score=0.5076; vehicles=12739; avg_speed=9.849; avg_delay=0.315; queue_ratio=0.014
15,2022-05-09 08:10:00,2022-05-09 09:10:00,60,0.5069314082141173,0.6390621831637836,13642.0,9.861587217878938,0.3143251847201819,0.01202169769828467,5,False,mean_score=0.5069; vehicles=13642; avg_speed=9.862; avg_delay=0.314; queue_ratio=0.012
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,60,0.46006730101417537,0.5309468159565699,31218.0,10.486564264021991,0.2697252074788134,0.007239413159074837,1,True,mean_score=0.4601; vehicles=31218; avg_speed=10.487; avg_delay=0.270; queue_ratio=0.007; shared_window_from=15+16
15+16,2022-05-09 08:05:00,2022-05-09 09:05:00,60,0.45980800632221985,0.5309468159565699,31464.0,10.493851574459825,0.26898422301625075,0.007182812102720514,2,False,mean_score=0.4598; vehicles=31464; avg_speed=10.494; avg_delay=0.269; queue_ratio=0.007
15+16,2022-05-09 07:50:00,2022-05-09 08:50:00,60,0.45751501860826943,0.5309468159565699,31492.0,10.505134198904816,0.2688119561339523,0.006985901181252337,3,False,mean_score=0.4575; vehicles=31492; avg_speed=10.505; avg_delay=0.269; queue_ratio=0.007
15+16,2022-05-09 08:10:00,2022-05-09 09:10:00,60,0.457114068161728,0.5309468159565699,30576.0,10.485336469575232,0.2700441720998429,0.0075876504447932435,4,False,mean_score=0.4571; vehicles=30576; avg_speed=10.485; avg_delay=0.270; queue_ratio=0.008
15+16,2022-05-09 08:15:00,2022-05-09 09:15:00,60,0.455049151793587,0.5309468159565699,30113.0,10.48494650657012,0.2698056896652762,0.0076711055026067905,5,False,mean_score=0.4550; vehicles=30113; avg_speed=10.485; avg_delay=0.270; queue_ratio=0.008
16,2022-05-09 17:40:00,2022-05-09 18:40:00,60,0.3468630060837781,0.4278524840108607,18803.0,10.934335961140262,0.24265772331018087,0.0024464181247672817,1,False,mean_score=0.3469; vehicles=18803; avg_speed=10.934; avg_delay=0.243; queue_ratio=0.002
16,2022-05-09 17:50:00,2022-05-09 18:50:00,60,0.3457999086450068,0.4278524840108607,18841.0,10.951387288885323,0.24140731887747022,0.002335332519505291,2,False,mean_score=0.3458; vehicles=18841; avg_speed=10.951; avg_delay=0.241; queue_ratio=0.002
16,2022-05-09 17:35:00,2022-05-09 18:35:00,60,0.3456507713608863,0.4278524840108607,18895.0,10.971747708066568,0.23993776349035326,0.0027520508070917895,3,False,mean_score=0.3457; vehicles=18895; avg_speed=10.972; avg_delay=0.240; queue_ratio=0.003
16,2022-05-09 17:25:00,2022-05-09 18:25:00,60,0.34533381339993247,0.4278524840108607,18559.0,10.955852791820487,0.2400984596362209,0.0029635217414731006,4,False,mean_score=0.3453; vehicles=18559; avg_speed=10.956; avg_delay=0.240; queue_ratio=0.003
16,2022-05-09 17:45:00,2022-05-09 18:45:00,60,0.3431171978870245,0.4278524840108607,18953.0,10.972754923058266,0.24024147634732626,0.0023215322112593918,5,False,mean_score=0.3431; vehicles=18953; avg_speed=10.973; avg_delay=0.240; queue_ratio=0.002
16,2022-05-09 08:00:00,2022-05-09 09:00:00,60,0.3385192240962556,0.4170163384489183,17511.0,10.98783513493857,0.23377649606435727,0.0036548455256695377,10,True,mean_score=0.3385; vehicles=17511; avg_speed=10.988; avg_delay=0.234; queue_ratio=0.004; shared_window_from=15+16
